PING 52.175.213.212 (52.175.213.212) 56(84) bytes of data.
64 bytes from 52.175.213.212: icmp_seq=133 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=134 ttl=57 time=1.11 ms
64 bytes from 52.175.213.212: icmp_seq=135 ttl=57 time=1.55 ms
64 bytes from 52.175.213.212: icmp_seq=136 ttl=57 time=1.53 ms
64 bytes from 52.175.213.212: icmp_seq=137 ttl=57 time=1.18 ms
64 bytes from 52.175.213.212: icmp_seq=138 ttl=57 time=1.83 ms
64 bytes from 52.175.213.212: icmp_seq=139 ttl=57 time=1.68 ms
64 bytes from 52.175.213.212: icmp_seq=140 ttl=57 time=1.31 ms
64 bytes from 52.175.213.212: icmp_seq=141 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=142 ttl=57 time=1.19 ms
64 bytes from 52.175.213.212: icmp_seq=143 ttl=57 time=0.997 ms
64 bytes from 52.175.213.212: icmp_seq=144 ttl=57 time=1.00 ms
64 bytes from 52.175.213.212: icmp_seq=145 ttl=57 time=1.27 ms
64 bytes from 52.175.213.212: icmp_seq=146 ttl=57 time=1.09 ms
64 bytes from 52.175.213.212: icmp_seq=147 ttl=57 time=1.68 ms
64 bytes from 52.175.213.212: icmp_seq=148 ttl=57 time=1.29 ms
64 bytes from 52.175.213.212: icmp_seq=149 ttl=57 time=1.24 ms
64 bytes from 52.175.213.212: icmp_seq=150 ttl=57 time=2.02 ms
64 bytes from 52.175.213.212: icmp_seq=151 ttl=57 time=1.16 ms
64 bytes from 52.175.213.212: icmp_seq=152 ttl=57 time=0.817 ms
64 bytes from 52.175.213.212: icmp_seq=153 ttl=57 time=1.30 ms
64 bytes from 52.175.213.212: icmp_seq=154 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=155 ttl=57 time=1.36 ms
64 bytes from 52.175.213.212: icmp_seq=156 ttl=57 time=1.19 ms
64 bytes from 52.175.213.212: icmp_seq=157 ttl=57 time=1.09 ms
64 bytes from 52.175.213.212: icmp_seq=158 ttl=57 time=1.51 ms
64 bytes from 52.175.213.212: icmp_seq=159 ttl=57 time=1.45 ms
64 bytes from 52.175.213.212: icmp_seq=160 ttl=57 time=1.69 ms
64 bytes from 52.175.213.212: icmp_seq=161 ttl=57 time=2.22 ms
64 bytes from 52.175.213.212: icmp_seq=162 ttl=57 time=1.03 ms
64 bytes from 52.175.213.212: icmp_seq=163 ttl=57 time=1.50 ms
64 bytes from 52.175.213.212: icmp_seq=164 ttl=57 time=0.874 ms
64 bytes from 52.175.213.212: icmp_seq=165 ttl=57 time=1.77 ms
64 bytes from 52.175.213.212: icmp_seq=166 ttl=57 time=0.991 ms
64 bytes from 52.175.213.212: icmp_seq=167 ttl=57 time=1.17 ms
64 bytes from 52.175.213.212: icmp_seq=168 ttl=57 time=1.40 ms
64 bytes from 52.175.213.212: icmp_seq=169 ttl=57 time=1.32 ms
64 bytes from 52.175.213.212: icmp_seq=170 ttl=57 time=1.32 ms
64 bytes from 52.175.213.212: icmp_seq=171 ttl=57 time=1.02 ms
64 bytes from 52.175.213.212: icmp_seq=172 ttl=57 time=1.13 ms
64 bytes from 52.175.213.212: icmp_seq=173 ttl=57 time=1.85 ms
64 bytes from 52.175.213.212: icmp_seq=174 ttl=57 time=1.24 ms
64 bytes from 52.175.213.212: icmp_seq=175 ttl=57 time=0.982 ms
64 bytes from 52.175.213.212: icmp_seq=176 ttl=57 time=1.45 ms
64 bytes from 52.175.213.212: icmp_seq=177 ttl=57 time=1.18 ms
64 bytes from 52.175.213.212: icmp_seq=178 ttl=57 time=1.34 ms
64 bytes from 52.175.213.212: icmp_seq=179 ttl=57 time=1.32 ms
64 bytes from 52.175.213.212: icmp_seq=180 ttl=57 time=1.04 ms
64 bytes from 52.175.213.212: icmp_seq=181 ttl=57 time=0.905 ms
64 bytes from 52.175.213.212: icmp_seq=182 ttl=57 time=1.43 ms
64 bytes from 52.175.213.212: icmp_seq=183 ttl=57 time=1.38 ms
64 bytes from 52.175.213.212: icmp_seq=184 ttl=57 time=1.94 ms
64 bytes from 52.175.213.212: icmp_seq=185 ttl=57 time=1.36 ms
64 bytes from 52.175.213.212: icmp_seq=186 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=187 ttl=57 time=1.15 ms
64 bytes from 52.175.213.212: icmp_seq=188 ttl=57 time=1.43 ms
64 bytes from 52.175.213.212: icmp_seq=189 ttl=57 time=1.81 ms
64 bytes from 52.175.213.212: icmp_seq=190 ttl=57 time=1.94 ms
64 bytes from 52.175.213.212: icmp_seq=191 ttl=57 time=0.968 ms
64 bytes from 52.175.213.212: icmp_seq=192 ttl=57 time=1.22 ms
64 bytes from 52.175.213.212: icmp_seq=193 ttl=57 time=1.25 ms
