PING 34.94.6.178 (34.94.6.178) 56(84) bytes of data.
64 bytes from 34.94.6.178: icmp_seq=114 ttl=61 time=2.91 ms
64 bytes from 34.94.6.178: icmp_seq=115 ttl=61 time=2.85 ms
64 bytes from 34.94.6.178: icmp_seq=116 ttl=61 time=2.80 ms
64 bytes from 34.94.6.178: icmp_seq=117 ttl=61 time=2.70 ms
64 bytes from 34.94.6.178: icmp_seq=118 ttl=61 time=2.96 ms
64 bytes from 34.94.6.178: icmp_seq=119 ttl=61 time=3.55 ms
64 bytes from 34.94.6.178: icmp_seq=120 ttl=61 time=3.34 ms
64 bytes from 34.94.6.178: icmp_seq=121 ttl=61 time=2.97 ms
64 bytes from 34.94.6.178: icmp_seq=122 ttl=61 time=3.54 ms
64 bytes from 34.94.6.178: icmp_seq=123 ttl=61 time=3.37 ms
64 bytes from 34.94.6.178: icmp_seq=124 ttl=61 time=4.21 ms
64 bytes from 34.94.6.178: icmp_seq=125 ttl=61 time=2.94 ms
64 bytes from 34.94.6.178: icmp_seq=126 ttl=61 time=2.62 ms
64 bytes from 34.94.6.178: icmp_seq=127 ttl=61 time=4.67 ms
64 bytes from 34.94.6.178: icmp_seq=128 ttl=61 time=3.00 ms
64 bytes from 34.94.6.178: icmp_seq=129 ttl=61 time=3.19 ms
64 bytes from 34.94.6.178: icmp_seq=130 ttl=61 time=3.02 ms
64 bytes from 34.94.6.178: icmp_seq=131 ttl=61 time=2.58 ms
64 bytes from 34.94.6.178: icmp_seq=132 ttl=61 time=3.49 ms
64 bytes from 34.94.6.178: icmp_seq=133 ttl=61 time=3.15 ms
64 bytes from 34.94.6.178: icmp_seq=134 ttl=61 time=3.11 ms
64 bytes from 34.94.6.178: icmp_seq=135 ttl=61 time=2.31 ms
64 bytes from 34.94.6.178: icmp_seq=136 ttl=61 time=2.96 ms
64 bytes from 34.94.6.178: icmp_seq=137 ttl=61 time=3.21 ms
64 bytes from 34.94.6.178: icmp_seq=138 ttl=61 time=2.93 ms
64 bytes from 34.94.6.178: icmp_seq=139 ttl=61 time=2.92 ms
64 bytes from 34.94.6.178: icmp_seq=140 ttl=61 time=3.18 ms
64 bytes from 34.94.6.178: icmp_seq=141 ttl=61 time=3.49 ms
64 bytes from 34.94.6.178: icmp_seq=142 ttl=61 time=3.43 ms
64 bytes from 34.94.6.178: icmp_seq=143 ttl=61 time=3.35 ms
64 bytes from 34.94.6.178: icmp_seq=144 ttl=61 time=2.48 ms
64 bytes from 34.94.6.178: icmp_seq=145 ttl=61 time=3.25 ms
64 bytes from 34.94.6.178: icmp_seq=146 ttl=61 time=3.81 ms
64 bytes from 34.94.6.178: icmp_seq=147 ttl=61 time=3.27 ms
64 bytes from 34.94.6.178: icmp_seq=148 ttl=61 time=3.09 ms
64 bytes from 34.94.6.178: icmp_seq=149 ttl=61 time=2.89 ms
64 bytes from 34.94.6.178: icmp_seq=150 ttl=61 time=2.51 ms
64 bytes from 34.94.6.178: icmp_seq=151 ttl=61 time=3.32 ms
64 bytes from 34.94.6.178: icmp_seq=152 ttl=61 time=2.55 ms
64 bytes from 34.94.6.178: icmp_seq=153 ttl=61 time=3.42 ms
64 bytes from 34.94.6.178: icmp_seq=154 ttl=61 time=2.42 ms
64 bytes from 34.94.6.178: icmp_seq=155 ttl=61 time=3.27 ms
64 bytes from 34.94.6.178: icmp_seq=156 ttl=61 time=3.50 ms
64 bytes from 34.94.6.178: icmp_seq=157 ttl=61 time=3.09 ms
64 bytes from 34.94.6.178: icmp_seq=158 ttl=61 time=2.56 ms
64 bytes from 34.94.6.178: icmp_seq=159 ttl=61 time=3.39 ms
64 bytes from 34.94.6.178: icmp_seq=160 ttl=61 time=2.52 ms
64 bytes from 34.94.6.178: icmp_seq=161 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=162 ttl=61 time=3.08 ms
64 bytes from 34.94.6.178: icmp_seq=163 ttl=61 time=2.73 ms
64 bytes from 34.94.6.178: icmp_seq=164 ttl=61 time=11.7 ms
64 bytes from 34.94.6.178: icmp_seq=165 ttl=61 time=2.61 ms
64 bytes from 34.94.6.178: icmp_seq=166 ttl=61 time=2.99 ms
64 bytes from 34.94.6.178: icmp_seq=167 ttl=61 time=2.89 ms
64 bytes from 34.94.6.178: icmp_seq=168 ttl=61 time=3.47 ms
64 bytes from 34.94.6.178: icmp_seq=169 ttl=61 time=3.30 ms
