PING 143.198.66.185 (143.198.66.185) 56(84) bytes of data.
64 bytes from 143.198.66.185: icmp_seq=231 ttl=62 time=0.407 ms
64 bytes from 143.198.66.185: icmp_seq=232 ttl=62 time=0.474 ms
64 bytes from 143.198.66.185: icmp_seq=233 ttl=62 time=0.387 ms
64 bytes from 143.198.66.185: icmp_seq=234 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=235 ttl=62 time=0.369 ms
64 bytes from 143.198.66.185: icmp_seq=236 ttl=62 time=0.411 ms
64 bytes from 143.198.66.185: icmp_seq=237 ttl=62 time=0.413 ms
64 bytes from 143.198.66.185: icmp_seq=238 ttl=62 time=0.359 ms
64 bytes from 143.198.66.185: icmp_seq=239 ttl=62 time=0.437 ms
64 bytes from 143.198.66.185: icmp_seq=240 ttl=62 time=0.388 ms
64 bytes from 143.198.66.185: icmp_seq=241 ttl=62 time=0.350 ms
64 bytes from 143.198.66.185: icmp_seq=242 ttl=62 time=0.347 ms
64 bytes from 143.198.66.185: icmp_seq=243 ttl=62 time=0.446 ms
64 bytes from 143.198.66.185: icmp_seq=244 ttl=62 time=0.260 ms
64 bytes from 143.198.66.185: icmp_seq=245 ttl=62 time=0.346 ms
64 bytes from 143.198.66.185: icmp_seq=246 ttl=62 time=0.372 ms
64 bytes from 143.198.66.185: icmp_seq=247 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=248 ttl=62 time=0.419 ms
64 bytes from 143.198.66.185: icmp_seq=249 ttl=62 time=0.368 ms
64 bytes from 143.198.66.185: icmp_seq=250 ttl=62 time=0.471 ms
64 bytes from 143.198.66.185: icmp_seq=251 ttl=62 time=0.337 ms
64 bytes from 143.198.66.185: icmp_seq=252 ttl=62 time=0.349 ms
64 bytes from 143.198.66.185: icmp_seq=253 ttl=62 time=0.394 ms
64 bytes from 143.198.66.185: icmp_seq=254 ttl=62 time=0.337 ms
64 bytes from 143.198.66.185: icmp_seq=255 ttl=62 time=0.324 ms
64 bytes from 143.198.66.185: icmp_seq=256 ttl=62 time=0.373 ms
64 bytes from 143.198.66.185: icmp_seq=257 ttl=62 time=0.366 ms
64 bytes from 143.198.66.185: icmp_seq=258 ttl=62 time=0.410 ms
64 bytes from 143.198.66.185: icmp_seq=259 ttl=62 time=0.339 ms
64 bytes from 143.198.66.185: icmp_seq=260 ttl=62 time=0.379 ms
64 bytes from 143.198.66.185: icmp_seq=261 ttl=62 time=0.412 ms
64 bytes from 143.198.66.185: icmp_seq=262 ttl=62 time=0.349 ms
64 bytes from 143.198.66.185: icmp_seq=263 ttl=62 time=0.380 ms
64 bytes from 143.198.66.185: icmp_seq=264 ttl=62 time=0.430 ms
64 bytes from 143.198.66.185: icmp_seq=265 ttl=62 time=0.440 ms
64 bytes from 143.198.66.185: icmp_seq=266 ttl=62 time=0.365 ms
64 bytes from 143.198.66.185: icmp_seq=267 ttl=62 time=0.356 ms
64 bytes from 143.198.66.185: icmp_seq=268 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=269 ttl=62 time=0.376 ms
64 bytes from 143.198.66.185: icmp_seq=270 ttl=62 time=0.363 ms
64 bytes from 143.198.66.185: icmp_seq=271 ttl=62 time=0.383 ms
64 bytes from 143.198.66.185: icmp_seq=272 ttl=62 time=0.374 ms
64 bytes from 143.198.66.185: icmp_seq=273 ttl=62 time=0.384 ms
64 bytes from 143.198.66.185: icmp_seq=274 ttl=62 time=0.355 ms
64 bytes from 143.198.66.185: icmp_seq=275 ttl=62 time=0.380 ms
64 bytes from 143.198.66.185: icmp_seq=276 ttl=62 time=0.392 ms
64 bytes from 143.198.66.185: icmp_seq=277 ttl=62 time=0.390 ms
64 bytes from 143.198.66.185: icmp_seq=278 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=279 ttl=62 time=0.342 ms
64 bytes from 143.198.66.185: icmp_seq=280 ttl=62 time=0.372 ms
64 bytes from 143.198.66.185: icmp_seq=281 ttl=62 time=0.327 ms
64 bytes from 143.198.66.185: icmp_seq=282 ttl=62 time=0.389 ms
64 bytes from 143.198.66.185: icmp_seq=283 ttl=62 time=0.404 ms
64 bytes from 143.198.66.185: icmp_seq=284 ttl=62 time=0.401 ms
64 bytes from 143.198.66.185: icmp_seq=285 ttl=62 time=0.358 ms
64 bytes from 143.198.66.185: icmp_seq=286 ttl=62 time=0.421 ms
64 bytes from 143.198.66.185: icmp_seq=287 ttl=62 time=0.366 ms
64 bytes from 143.198.66.185: icmp_seq=288 ttl=62 time=0.323 ms
64 bytes from 143.198.66.185: icmp_seq=289 ttl=62 time=0.409 ms
64 bytes from 143.198.66.185: icmp_seq=290 ttl=62 time=0.426 ms
64 bytes from 143.198.66.185: icmp_seq=291 ttl=62 time=0.379 ms
64 bytes from 143.198.66.185: icmp_seq=292 ttl=62 time=0.393 ms
64 bytes from 143.198.66.185: icmp_seq=293 ttl=62 time=0.371 ms
64 bytes from 143.198.66.185: icmp_seq=294 ttl=62 time=0.377 ms
64 bytes from 143.198.66.185: icmp_seq=295 ttl=62 time=0.474 ms
64 bytes from 143.198.66.185: icmp_seq=296 ttl=62 time=0.556 ms
64 bytes from 143.198.66.185: icmp_seq=297 ttl=62 time=0.487 ms
64 bytes from 143.198.66.185: icmp_seq=298 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=299 ttl=62 time=0.425 ms
64 bytes from 143.198.66.185: icmp_seq=300 ttl=62 time=0.390 ms
