PING 54.183.192.90 (54.183.192.90) 56(84) bytes of data.
64 bytes from 54.183.192.90: icmp_seq=170 ttl=63 time=0.439 ms
64 bytes from 54.183.192.90: icmp_seq=171 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=172 ttl=63 time=0.454 ms
64 bytes from 54.183.192.90: icmp_seq=173 ttl=63 time=0.442 ms
64 bytes from 54.183.192.90: icmp_seq=174 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=175 ttl=63 time=0.478 ms
64 bytes from 54.183.192.90: icmp_seq=176 ttl=63 time=0.465 ms
64 bytes from 54.183.192.90: icmp_seq=177 ttl=63 time=0.505 ms
64 bytes from 54.183.192.90: icmp_seq=178 ttl=63 time=0.806 ms
64 bytes from 54.183.192.90: icmp_seq=179 ttl=63 time=0.508 ms
64 bytes from 54.183.192.90: icmp_seq=180 ttl=63 time=0.474 ms
64 bytes from 54.183.192.90: icmp_seq=181 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=182 ttl=63 time=0.515 ms
64 bytes from 54.183.192.90: icmp_seq=183 ttl=63 time=0.576 ms
64 bytes from 54.183.192.90: icmp_seq=184 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=185 ttl=63 time=0.591 ms
64 bytes from 54.183.192.90: icmp_seq=186 ttl=63 time=0.421 ms
64 bytes from 54.183.192.90: icmp_seq=187 ttl=63 time=0.454 ms
64 bytes from 54.183.192.90: icmp_seq=188 ttl=63 time=0.453 ms
64 bytes from 54.183.192.90: icmp_seq=189 ttl=63 time=0.490 ms
64 bytes from 54.183.192.90: icmp_seq=190 ttl=63 time=2.69 ms
64 bytes from 54.183.192.90: icmp_seq=191 ttl=63 time=0.480 ms
64 bytes from 54.183.192.90: icmp_seq=192 ttl=63 time=0.498 ms
64 bytes from 54.183.192.90: icmp_seq=193 ttl=63 time=0.497 ms
64 bytes from 54.183.192.90: icmp_seq=194 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=195 ttl=63 time=0.473 ms
64 bytes from 54.183.192.90: icmp_seq=196 ttl=63 time=0.549 ms
64 bytes from 54.183.192.90: icmp_seq=197 ttl=63 time=0.463 ms
64 bytes from 54.183.192.90: icmp_seq=198 ttl=63 time=0.463 ms
64 bytes from 54.183.192.90: icmp_seq=199 ttl=63 time=0.491 ms
64 bytes from 54.183.192.90: icmp_seq=200 ttl=63 time=0.476 ms
64 bytes from 54.183.192.90: icmp_seq=201 ttl=63 time=0.480 ms
64 bytes from 54.183.192.90: icmp_seq=202 ttl=63 time=0.513 ms
64 bytes from 54.183.192.90: icmp_seq=203 ttl=63 time=0.438 ms
64 bytes from 54.183.192.90: icmp_seq=204 ttl=63 time=0.436 ms
64 bytes from 54.183.192.90: icmp_seq=205 ttl=63 time=0.446 ms
64 bytes from 54.183.192.90: icmp_seq=206 ttl=63 time=0.670 ms
64 bytes from 54.183.192.90: icmp_seq=207 ttl=63 time=0.478 ms
64 bytes from 54.183.192.90: icmp_seq=208 ttl=63 time=0.480 ms
64 bytes from 54.183.192.90: icmp_seq=209 ttl=63 time=0.429 ms
64 bytes from 54.183.192.90: icmp_seq=210 ttl=63 time=0.566 ms
64 bytes from 54.183.192.90: icmp_seq=211 ttl=63 time=3.66 ms
64 bytes from 54.183.192.90: icmp_seq=212 ttl=63 time=0.453 ms
64 bytes from 54.183.192.90: icmp_seq=213 ttl=63 time=0.525 ms
64 bytes from 54.183.192.90: icmp_seq=214 ttl=63 time=0.493 ms
64 bytes from 54.183.192.90: icmp_seq=215 ttl=63 time=0.437 ms
64 bytes from 54.183.192.90: icmp_seq=216 ttl=63 time=0.406 ms
64 bytes from 54.183.192.90: icmp_seq=217 ttl=63 time=0.497 ms
64 bytes from 54.183.192.90: icmp_seq=218 ttl=63 time=0.519 ms
64 bytes from 54.183.192.90: icmp_seq=219 ttl=63 time=0.513 ms
64 bytes from 54.183.192.90: icmp_seq=220 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=221 ttl=63 time=0.440 ms
64 bytes from 54.183.192.90: icmp_seq=222 ttl=63 time=0.456 ms
64 bytes from 54.183.192.90: icmp_seq=223 ttl=63 time=0.503 ms
64 bytes from 54.183.192.90: icmp_seq=224 ttl=63 time=0.508 ms
64 bytes from 54.183.192.90: icmp_seq=225 ttl=63 time=0.439 ms
64 bytes from 54.183.192.90: icmp_seq=226 ttl=63 time=0.427 ms
64 bytes from 54.183.192.90: icmp_seq=227 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=228 ttl=63 time=0.636 ms
64 bytes from 54.183.192.90: icmp_seq=229 ttl=63 time=0.457 ms
64 bytes from 54.183.192.90: icmp_seq=230 ttl=63 time=0.462 ms
64 bytes from 54.183.192.90: icmp_seq=231 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=232 ttl=63 time=2.88 ms
64 bytes from 54.183.192.90: icmp_seq=233 ttl=63 time=0.516 ms
64 bytes from 54.183.192.90: icmp_seq=234 ttl=63 time=0.614 ms
64 bytes from 54.183.192.90: icmp_seq=235 ttl=63 time=0.497 ms
